No.;Street Number;Street Name;Household Owner;Household Code;Coordinate
604;693;"Jalan Enam";Boa Gang Bege;Boa_Gang_Bege;1.307334,103.885615
605;335;"Lorong 22 Geylang";Vinsmoke (Okama);Vinsmoke_Okama;1.311354,103.882128
606;646;"Jalan Dua";Capone Oden;Capone_Oden;1.308984,103.887473
607;218;"Lorong Bachok";Pedro Zoro;Pedro_Zoro;1.313975,103.879763
608;251;"Paya Lebar Road";Capone Robin;Capone_Robin;1.317709,103.892050
609;331;"Lorong 28 Geylang";Rebecca Vivi;Rebecca_Vivi;1.312266,103.885598
610;225;"Tanjong Katong Road";Caesar Doflamingo;Caesar_Doflamingo;1.305358,103.896144
611;878;"Paya Lebar Road";Kozuki Dancer;Kozuki_Dancer;1.316150,103.892441
612;785;"Lorong 40 Geylang";Koala Kid;Koala_Kid;1.312992,103.889933
613;956;"Lorong 16 Geylang";Roronoa Hancock;Roronoa_Hancock;1.312466,103.879822
614;194;"Lorong 38 Geylang";Nekomamushi Oden;Nekomamushi_Oden;1.314268,103.888856
615;385;"Aljunied Road";Koala Oden;Koala_Oden;1.333059,103.878802
616;626;"Lorong 33 Geylang";Brook Law;Brook_Law;1.316027,103.888000
617;622;"Tanjong Katong Road";Arlong Luffy;Arlong_Luffy;1.305358,103.896144
618;717;"Lorong 28 Geylang";Buggy Doflamingo;Buggy_Doflamingo;1.312948,103.885577
619;395;"Jalan Satu";Arlong Doflamingo;Arlong_Doflamingo;1.308453,103.889060
620;485;"Lorong 28 Geylang";Koala Mermaid Princess;Koala_Mermaid_Princess;1.311821,103.885626
621;554;"Lorong 12 Geylang";Brook Luffy;Brook_Luffy;1.311688,103.878273
622;541;"Lorong 10 Geylang";Vinsmoke Gang Bege;Vinsmoke_Gang_Bege;1.311505,103.877669
623;873;"Lorong 10 Geylang";Capone Sanji;Capone_Sanji;1.311505,103.877669
624;945;"Geylang East Avenue 2";Donquixote Cyborg;Donquixote_Cyborg;1.316929,103.888472
625;674;"Jalan Dua";Tony Tony Sir;Tony_Tony_Sir;1.308984,103.887473
626;738;"Tanjong Katong Road";Brook Robin;Brook_Robin;1.299503,103.897055
627;344;"Geylang East Avenue 1";Dracule Sanji;Dracule_Sanji;1.316649,103.885158
628;427;"Geylang East Central";Viola Clown;Viola_Clown;1.320271,103.887383
629;957;"Geylang Road";Dracule Mad Monk;Dracule_Mad_Monk;1.314322,103.888354
630;577;"Paya Lebar Road";Shanks Sir;Shanks_Sir;1.317709,103.892050
631;865;"Lorong 40 Geylang";Eustass Doflamingo;Eustass_Doflamingo;1.312992,103.889933
632;479;"Sims Avenue";Monkey D. Mihawk;Monkey_D_Mihawk;1.316195,103.887572
633;918;"Sims Avenue";Trafalgar D. Vivi;Trafalgar_D_Vivi;1.315575,103.885110
634;972;"Geylang Road";Pedro Ace;Pedro_Ace;1.312238,103.877114
635;417;"Lorong 33 Geylang";Inuarashi Hancock;Inuarashi_Hancock;1.316027,103.888000
636;328;"Lorong 25 Geylang";Urouge Bonney;Urouge_Bonney;1.313488,103.882843
637;682;"Sims Avenue";Franky Ace;Franky_Ace;1.310484,103.870335
638;17;"Jalan Satu";Crocodile Fishman;Crocodile_Fishman;1.308453,103.889060
639;599;"Jalan Enam";Monkey D. Kid;Monkey_D_Kid;1.307334,103.885615
640;81;"Geylang East Avenue 1";Arlong Teach;Arlong_Teach;1.316649,103.885158
641;448;"Sims Avenue";Monkey D. Hancock;Monkey_D_Hancock;1.314300,103.878452
642;407;"Sims Avenue";Yamato Mermaid Princess;Yamato_Mermaid_Princess;1.315657,103.885513
643;823;"Lorong 40 Geylang";Kozuki (Okama);Kozuki_Okama;1.313873,103.889261
644;596;"Jalan Enam";Pedro Oden;Pedro_Oden;1.307334,103.885615
645;722;"Lorong 28 Geylang";X. Drake Kid;X_Drake_Kid;1.312948,103.885577
646;342;"Paya Lebar Road";Kozuki Gladiator;Kozuki_Gladiator;1.328633,103.889822
647;356;"Aljunied Road";Pedro Mr.2;Pedro_Mr2;1.320843,103.881743
648;297;"Lorong 22 Geylang";Kozuki Katakuri;Kozuki_Katakuri;1.311354,103.882128
649;874;"Geylang Road";Bentham Hancock;Bentham_Hancock;1.312238,103.877114
650;909;"Jalan Satu";Urouge Ace;Urouge_Ace;1.310372,103.887350
651;343;"Paya Lebar Road";Pedro Sanji;Pedro_Sanji;1.328633,103.889822
652;906;"Aljunied Road";Pekoms Mermaid Princess;Pekoms_Mermaid_Princess;1.313544,103.882020
653;833;"Lorong 25 Geylang";Portgas D. Robin;Portgas_D_Robin;1.314279,103.882528
654;283;"Lorong 16 Geylang";Marshall D. Zoro;Marshall_D_Zoro;1.311786,103.879886
655;462;"Lorong 28 Geylang";Rebecca Luffy;Rebecca_Luffy;1.312948,103.885577
656;742;"Lorong 22 Geylang";Roronoa Luffy;Roronoa_Luffy;1.311354,103.882128
657;311;"Geylang East Avenue 1";Dracule Bonney;Dracule_Bonney;1.316649,103.885158
658;415;"Tanjong Katong Road";Jimbei Fishman;Jimbei_Fishman;1.303616,103.896680
659;912;"Lorong 12 Geylang";Kozuki Doflamingo;Kozuki_Doflamingo;1.311688,103.878273
660;238;"Lorong Bachok";Shirahoshi Luffy;Shirahoshi_Luffy;1.313913,103.879470
661;416;"Lorong 16 Geylang";Monkey D. Sir;Monkey_D_Sir;1.311786,103.879886
662;901;"Jalan Enam";Nico Kid;Nico_Kid;1.307334,103.885615
663;291;"Lorong 10 Geylang";Viola (Okama);Viola_Okama;1.311505,103.877669
664;560;"Lorong 16 Geylang";Tony Tony Teach;Tony_Tony_Teach;1.311786,103.879886
665;631;"Geylang Road";Nefertari Oden;Nefertari_Oden;1.313369,103.883518
666;793;"Lorong 38 Geylang";Enel Revo;Enel_Revo;1.313951,103.888916
667;200;"Lorong 22 Geylang";Viola Mihawk;Viola_Mihawk;1.311354,103.882128
668;261;"Lorong 40 Geylang";Franky Sanji;Franky_Sanji;1.312992,103.889933
669;122;"Geylang East Central";Pekoms Bonney;Pekoms_Bonney;1.320271,103.887383
670;97;"Geylang Road";Enel Fishman;Enel_Fishman;1.312238,103.877114
671;665;"Lorong 12 Geylang";Eustass Sanji;Eustass_Sanji;1.311688,103.878273
672;964;"Lorong 10 Geylang";Koala Teach;Koala_Teach;1.311505,103.877669
673;959;"Lorong 40 Geylang";Franky Marine;Franky_Marine;1.314497,103.889674
674;330;"Lorong 33 Geylang";Urouge Doflamingo;Urouge_Doflamingo;1.316027,103.888000
675;505;"Tanjong Katong Road";Enel Star Clown;Enel_Star_Clown;1.303616,103.896680
676;44;"Paya Lebar Road";Caesar Gladiator;Caesar_Gladiator;1.318007,103.892110
677;508;"Geylang Road";Trafalgar D. Ace;Trafalgar_D_Ace;1.312582,103.878979
678;160;"Jalan Satu";Ivankov Vivi;Ivankov_Vivi;1.308453,103.889060
679;865;"Lorong Bachok";Charlotte God;Charlotte_God;1.313975,103.879763
680;216;"Lorong 38 Geylang";Shanks Sanji;Shanks_Sanji;1.314268,103.888856
681;872;"Lorong 40 Geylang";Rebecca Oden;Rebecca_Oden;1.312992,103.889933
682;556;"Lorong 40 Geylang";X. Drake Duke;X_Drake_Duke;1.312992,103.889933
683;150;"Sims Avenue";Crocodile Vivi;Crocodile_Vivi;1.312129,103.872896
684;129;"Lorong 33 Geylang";Capone Katakuri;Capone_Katakuri;1.316027,103.888000
685;48;"Lorong 25 Geylang";Franky Bonney;Franky_Bonney;1.313488,103.882843
686;260;"Lorong 25 Geylang";Arlong Hancock;Arlong_Hancock;1.313488,103.882843
687;41;"Lorong 25 Geylang";Portgas D. Mad Monk;Portgas_D_Mad_Monk;1.313488,103.882843
688;556;"Lorong 27 Geylang";Koala Katakuri;Koala_Katakuri;1.315859,103.883817
689;158;"Jalan Dua";Shirahoshi Red-Haired;Shirahoshi_RedHaired;1.308984,103.887473
690;493;"Aljunied Road";Crocodile Duke;Crocodile_Duke;1.329718,103.879493
691;461;"Lorong 33 Geylang";Enel Mihawk;Enel_Mihawk;1.316027,103.888000
692;527;"Geylang East Central";Buggy Fishman;Buggy_Fishman;1.320271,103.887383
693;970;"Jalan Enam";Monkey D. Ace;Monkey_D_Ace;1.307334,103.885615
694;182;"Geylang East Avenue 2";Bentham Gladiator;Bentham_Gladiator;1.316929,103.888472
695;474;"Aljunied Road";Shirahoshi Gladiator;Shirahoshi_Gladiator;1.320843,103.881743
696;525;"Aljunied Road";Charlotte Star Clown;Charlotte_Star_Clown;1.320843,103.881743
697;285;"Aljunied Road";Roronoa Onigashima;Roronoa_Onigashima;1.325358,103.880763
698;422;"Geylang East Avenue 1";Nekomamushi Doflamingo;Nekomamushi_Doflamingo;1.316649,103.885158
699;670;"Lorong 38 Geylang";Inuarashi Teach;Inuarashi_Teach;1.314268,103.888856
700;647;"Jalan Satu";Charlotte Hancock;Charlotte_Hancock;1.308453,103.889060
